reachid,huc8,region
3630443,07140101,DeSoto
3630493,07140101,DeSoto
3627243,07140101,DeSoto
7375217,10290106,SpringfieldGreeneCounty
7375315,10290106,SpringfieldGreeneCounty
7375753,10290106,SpringfieldGreeneCounty
7607319,11010002,SpringfieldGreeneCounty
7606999,11010002,SpringfieldGreeneCounty
7607251,11010002,SpringfieldGreeneCounty
7607315,11010002,SpringfieldGreeneCounty
7607903,11010002,SpringfieldGreeneCounty
7607577,11010002,SpringfieldGreeneCounty
7607661,11010002,SpringfieldGreeneCounty
7607665,11010002,SpringfieldGreeneCounty
7607887,11010002,SpringfieldGreeneCounty
7607385,11010002,SpringfieldGreeneCounty
7607411,11010002,SpringfieldGreeneCounty
7607057,11010002,SpringfieldGreeneCounty
7606985,11010002,SpringfieldGreeneCounty
9326112,01080103,TwoRiversOttauquechee
4574621,01080104,TwoRiversOttauquechee
4574757,01080104,TwoRiversOttauquechee
4574497,01080104,TwoRiversOttauquechee
4574855,01080104,TwoRiversOttauquechee
6083333,01080105,TwoRiversOttauquechee
6083321,01080105,TwoRiversOttauquechee
6083317,01080105,TwoRiversOttauquechee
6084237,01080105,TwoRiversOttauquechee
6082873,01080105,TwoRiversOttauquechee
10103640,01080107,Windham
9330826,01080107,Windham
9330824,01080107,Windham
9331104,01080107,Windham
9332174,01080107,Windham
9332456,01080107,Windham
9331108,01080107,Windham
9332392,01080201,Windham
